color,hex
Color Snake,#FFE700
Color Snake,#FFDE59
Color Snake,#FEFE22
Color Snake,#FCF75E
Color Snake,#F9E647
Color Snake,#EF9B0F
Color Snake,#ED7936
Color Snake,#E0AB76
Color Snake,#DAA06D
Color Snake,#D2F5D6
Color Snake,#CDB280
Color Snake,#CEAF81
